FORMAT SAMPLE,Unnamed: 1,Unnamed: 2,100,0.22500225002250024,100.1,0.22500225002250024.1,100.2,0.22500225002250024.2,0.05,100.3,0.22500225002250024.3,0.05.1,1.000009000090001,100.4,0.05.2,,nan.1
,,,Ventures  1A,,Project 2A,,Ventures  1A,,C.P.5%,Project 2A,,C.P.5%,,,,,
1,F,11867,100,0.22500225002250024,86,0.1935019350193502,99,0.22275222752227522,0.05,84,0.1890018900189002,0.05,0.9302583025830258,A,,,
2,M,11573,99,0.22275222752227522,83,0.18675186751867517,100,0.22500225002250024,0.05,84,0.1890018900189002,0.02,0.8935082350823508,B,,,
3,M,12245,99,0.22275222752227522,90,0.2025020250202502,99,0.22275222752227522,0.05,76,0.17100171001710018,0.04,0.9090081900819008,A,,,
4,F,06123,100,0.22500225002250024,92,0.2070020700207002,99,0.22275222752227522,0.05,91,0.2047520475204752,0.05,0.9595085950859508,A,,,
5,F,11289,100,0.22500225002250024,81,0.1822518225182252,100,0.22500225002250024,0.05,66,0.14850148501485014,0.05,0.8807578075780758,B,,,
6,F,11291,100,0.22500225002250024,85,0.19125191251912518,100,0.22500225002250024,0.05,85,0.19125191251912518,0.05,0.9325083250832509,A,,,
7,F,11287,100,0.22500225002250024,75,0.16875168751687517,98,0.22050220502205023,0.05,75,0.16875168751687517,0.04,0.8730078300783009,B,,,
8,F,11265,100,0.22500225002250024,76,0.17100171001710018,98,0.22050220502205023,0.05,74,0.16650166501665017,0.05,0.8830078300783009,B,,,
9,M,11068,100,0.22500225002250024,92,0.2070020700207002,100,0.22500225002250024,0.05,87,0.1957519575195752,0.04,0.9427585275852759,A,,,
10,M,11539,100,0.22500225002250024,91,0.2047520475204752,100,0.22500225002250024,0.05,86,0.1935019350193502,0.05,0.9482584825848257,A,,,
11,F,08120,0,0.0,0,0.0,0,0,0,0,0.0,0,0,F,,,
12,F,12246,96,0.21600216002160022,80,0.18000180001800017,0,0,0,0,0.0,0.02,0.4160039600396004,F,,,
13,F,10516,87,0.1957519575195752,44,0.0990009900099001,76,0.17100171001710018,0.04,46,0.1035010350103501,0.05,0.6592556925569255,C,,,
14,M,11103,100,0.22500225002250024,73,0.16425164251642516,97,0.2182521825218252,0.05,62,0.13950139501395015,0.04,0.8370074700747008,B,,,
15,M,12283,100,0.22500225002250024,85,0.19125191251912518,99,0.22275222752227522,0.05,88,0.1980019800198002,0.04,0.9270083700837009,A,,,
16,F,11701,100,0.22500225002250024,85,0.19125191251912518,100,0.22500225002250024,0.05,72,0.16200162001620017,0.04,0.8932580325803259,B,,,
17,F,12214,100,0.22500225002250024,84,0.1890018900189002,99,0.22275222752227522,0.05,82,0.18450184501845018,0.05,0.9212582125821258,A,,,
18,M,11096,99,0.22275222752227522,71,0.15975159751597517,100,0.22500225002250024,0.05,63,0.14175141751417514,0.04,0.8392574925749258,B,,,
19,F,11219,90,0.2025020250202502,63,0.14175141751417514,77,0.17325173251732517,0.04,78,0.17550175501755017,0.03,0.7630069300693006,C,,,
20,F,11707,100,0.22500225002250024,86,0.1935019350193502,100,0.22500225002250024,0.05,70,0.15750157501575016,0.05,0.9010080100801008,A,,,
21,M,12169,98,0.22050220502205023,78,0.17550175501755017,98,0.22050220502205023,0.05,62,0.13950139501395015,0.04,0.8460075600756007,B,,,
22,M,11283,98,0.22050220502205023,82,0.18450184501845018,100,0.22500225002250024,0.05,66,0.14850148501485014,0.04,0.8685077850778508,B,,,
23,M,10860,95,0.2137521375213752,60,0.13500135001350014,88,0.1980019800198002,0.05,55,0.12375123751237513,0.04,0.7605067050670506,C,,,
24,F,11728,99,0.22275222752227522,77,0.17325173251732517,100,0.22500225002250024,0.05,83,0.18675186751867517,0.04,0.8977580775807759,B,,,
25,F,11786,100,0.22500225002250024,74,0.16650166501665017,0,0,0,0,0.0,0,0.3915039150391504,F,,,
"Mid-Term = 45% ;    Final = 45%,          C.P. (Class Participation) = 10%,       A= 100%-90%, B=89%-80%, C= 79%-65%, D= 64%-50%, F= Under 50%  ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ENGLISH FOR HIGH SCHOOL RESULT - TERM:  01 October 2019 ( 01 October 2019 - 31 December 2019 ) ,,,,,,,,,,,,,,,,,
Room:      Banteay Meanchey                                                                                                      ,,,,,,,,Level :  EHSS-4A,,,,,,,,,
Instructors: Mr. Paul Franks & Mr. Khut Sey                                         ,,,,,,,,Time: 6:00-7:30 PM,,,,,,,,,
No.,Gender,ID,Mid-term (45%),,,,Final (45%),,,,,,Total,Grade,Deduction and give reason,,
,,,Ventures  1B,,Project 2B,,Ventures  1B,,C.P.5%,Project 2B,,C.P.5%,,,,,
1,M,11910,96,0.21600216002160022,87,0.1957519575195752,92,0.2070020700207002,0.05,76,0.17100171001710018,0.05,0.8897578975789757,B,,,
2,M,11811,96,0.21600216002160022,85,0.19125191251912518,92,0.2070020700207002,0.05,80,0.18000180001800017,0.05,0.8942579425794258,B,,,
3,M,11338,97,0.2182521825218252,80,0.18000180001800017,90,0.2025020250202502,0.05,62,0.13950139501395015,0.05,0.8402574025740257,B,,,
4,M,10651,90,0.2025020250202502,64,0.14400144001440016,58,0.13050130501305013,0.04,60,0.13500135001350014,0.05,0.7020061200612007,C,,,
5,M,10904,0,0.0,79,0.17775177751777518,82,0.18450184501845018,0.05,77,0.17325173251732517,0.05,0.6355053550535505,D,,,
6,F,10997,92,0.2070020700207002,76,0.17100171001710018,79,0.17775177751777518,0.05,78,0.17550175501755017,0.05,0.8312573125731257,B,,,
7,M,12490,0,0.0,0,0.0,0,0,0,0,0.0,0,0,F,,,
8,F,10750,0,0.0,0,0.0,0,0,0,0,0.0,0,0,F,,,
9,F,11369,98,0.22050220502205023,82,0.18450184501845018,91,0.2047520475204752,0.05,76,0.17100171001710018,0.05,0.8807578075780758,B,,,
10,F,10884,95,0.2137521375213752,75,0.16875168751687517,91,0.2047520475204752,0.05,73,0.16425164251642516,0.05,0.8515075150751508,B,,,
11,M,10524,90,0.2025020250202502,71,0.15975159751597517,60,0.13500135001350014,0.03,54,0.12150121501215012,0.05,0.6987561875618756,C,,,
12,M,10759,90,0.2025020250202502,68,0.15300153001530015,70,0.15750157501575016,0.04,73,0.16425164251642516,0.05,0.7672567725677256,C,,,
13,M,08995,86,0.1935019350193502,51,0.11475114751147511,53,0.11925119251192512,0,84,0.1890018900189002,0,0.6165061650616506,D,,,
14,F,11311,96,0.21600216002160022,74,0.16650166501665017,87,0.1957519575195752,0.04,67,0.15075150751507516,0.05,0.8190072900729007,B,,,
15,M,10930,98,0.22050220502205023,80,0.18000180001800017,92,0.2070020700207002,0.05,79,0.17775177751777518,0.05,0.8852578525785257,B,,,
16,M,10478,86,0.1935019350193502,59,0.13275132751327515,75,0.16875168751687517,0.04,66,0.14850148501485014,0.05,0.7335064350643506,C,,,
17,M,10938,91,0.2047520475204752,57,0.12825128251282514,82,0.18450184501845018,0.04,71,0.15975159751597517,0.05,0.7672567725677257,C,,,
18,M,10089,83,0.18675186751867517,61,0.13725137251372513,52,0.11700117001170011,0,68,0.15300153001530015,0.05,0.6440059400594005,C,,,
19,F,11990,96,0.21600216002160022,95,0.2137521375213752,98,0.22050220502205023,0.04,88,0.1980019800198002,0.05,0.9382584825848259,A,,,
20,F,10459,96,0.21600216002160022,75,0.16875168751687517,83,0.18675186751867517,0.04,80,0.18000180001800017,0.05,0.8415075150751508,B,,,
21,F,10694,85,0.19125191251912518,64,0.14400144001440016,0,0,0,0,0.0,0.01,0.34525335253352535,F,,,
22,F,10114,89,0.2002520025200252,57,0.12825128251282514,62,0.13950139501395015,0.04,61,0.13725137251372513,0.05,0.6952560525605256,C,,,
23,M,11451,92,0.2070020700207002,88,0.1980019800198002,83,0.18675186751867517,0.04,87,0.1957519575195752,0.05,0.8775078750787508,B,,,
24,F,10871,89,0.2002520025200252,67,0.15075150751507516,87,0.1957519575195752,0.05,80,0.18000180001800017,0.05,0.8267572675726758,B,,,
25,F,11916,96,0.21600216002160022,91,0.2047520475204752,93,0.20925209252092522,0.05,88,0.1980019800198002,0.05,0.9280082800828009,A,,,
26,M,12490,100,0.22500225002250024,93,0.20925209252092522,90,0.2025020250202502,0.04,95,0.2137521375213752,0.05,0.9405085050850508,A,,,
27,M,10598,94,0.2115021150211502,69,0.15525155251552517,85,0.19125191251912518,0.04,71,0.15975159751597517,0.05,0.8077571775717758,B,,,
28,M,12066,97,0.2182521825218252,90,0.2025020250202502,96,0.21600216002160022,0.04,83,0.18675186751867517,0.05,0.9135082350823508,A,,,
29,F,11740,98,0.22050220502205023,88,0.1980019800198002,92,0.2070020700207002,0.04,85,0.19125191251912518,0.05,0.9067581675816758,A,,,
"Mid-Term = 45% ;    Final = 45%,          C.P. (Class Participation) = 10%,       A= 100%-90%, B=89%-80%, C= 79%-65%, D= 64%-50%, F= Under 50%  ",,,,,,,,,,,,,,,,,
ENGLISH FOR HIGH SCHOOL RESULT - TERM:  01 October 2019 ( 01 October 2019 - 31 December 2019 ) ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Room:      Koh Kong,,,,,,,,Level :  EHSS-4B,,,,,,,,,
Instructors: Mr. Cheng Nget & Mr. Oskar Mortimer Laver                                      ,,,,,,,,Time: 6:00-7:30 PM,,,,,,,,,
,,,,,,,,,,,,,,,,,
No.,Gender,ID,Mid-term (45%),,,,Final (45%),,,,,,Total,Grade,Deduction and give reason,,
,,,Ventures  1B,,Project 2B,,Ventures  1B,,C.P.5%,Project 2B,,C.P.5%,,,,,
1,F,11725,95,0.2137521375213752,90,0.2025020250202502,98,0.22050220502205023,0.05,90,0.2025020250202502,0.05,0.9392583925839258,A,,,
2,M,10507,89,0.2002520025200252,75,0.16875168751687517,91,0.2047520475204752,0.04,78,0.17550175501755017,0.04,0.8292574925749258,B,,,
3,F,11112,90,0.2025020250202502,80,0.18000180001800017,95,0.2137521375213752,0.04,79,0.17775177751777518,0.03,0.8440077400774008,B,,,
4,M,11362,92,0.2070020700207002,66,0.14850148501485014,85,0.19125191251912518,0.04,52,0.11700117001170011,0.03,0.7337566375663755,C,,,
5,F,11127,92,0.2070020700207002,73,0.16425164251642516,94,0.2115021150211502,0.05,68,0.15300153001530015,0.03,0.8157573575735757,B,,,
6,M,10675,76,0.17100171001710018,68,0.15300153001530015,0,0,0,0,0.0,0,0.32400324003240033,F,,,
7,F,11441,92,0.2070020700207002,73,0.16425164251642516,92,0.2070020700207002,0.05,74,0.16650166501665017,0.05,0.8447574475744757,B,,,
8,F,11115,94,0.2115021150211502,78,0.17550175501755017,93,0.20925209252092522,0.04,92,0.2070020700207002,0.03,0.8732580325803259,B,,,
9,M,10538,78,0.17550175501755017,64,0.14400144001440016,88,0.1980019800198002,0.04,69,0.15525155251552517,0.03,0.7427567275672757,C,,,
10,M,11463,92,0.2070020700207002,84,0.1890018900189002,96,0.21600216002160022,0.05,87,0.1957519575195752,0.05,0.9077580775807759,A,,,
11,F,11423,89,0.2002520025200252,93,0.20925209252092522,96,0.21600216002160022,0.05,90,0.2025020250202502,0.05,0.9280082800828008,A,,,
12,M,11109,84,0.1890018900189002,74,0.16650166501665017,97,0.2182521825218252,0.05,75,0.16875168751687517,0.01,0.8025074250742508,B,,,
13,F,11083,0,0.0,0,0.0,0,0,0,0,0.0,0,0,F,,,
14,M,12374,94,0.2115021150211502,92,0.2070020700207002,97,0.2182521825218252,0.04,93,0.20925209252092522,0.05,0.9360084600846008,A,,,
15,M,11069,77,0.17325173251732517,76,0.17100171001710018,86,0.1935019350193502,0.04,71,0.15975159751597517,0.03,0.7675069750697507,C,,,
16,F,11444,90,0.2025020250202502,91,0.2047520475204752,96,0.21600216002160022,0.05,86,0.1935019350193502,0.03,0.8967581675816758,B,,,
17,F,11245,92,0.2070020700207002,78,0.17550175501755017,94,0.2115021150211502,0.05,85,0.19125191251912518,0.05,0.8852578525785257,B,,,
18,F,11284,87,0.1957519575195752,87,0.1957519575195752,96,0.21600216002160022,0.05,87,0.1957519575195752,0.05,0.9032580325803258,A,,,
19,F,11413,87,0.1957519575195752,70,0.15750157501575016,94,0.2115021150211502,0.04,73,0.16425164251642516,0.03,0.7990072900729007,B,,,
20,F,11839,87,0.1957519575195752,0,0.0,0,0,0,0,0.0,0,0.1957519575195752,F,,,
21,F,11054,92,0.2070020700207002,94,0.2115021150211502,96,0.21600216002160022,0.05,91,0.2047520475204752,0.05,0.939258392583926,A,,,
22,F,12297,97,0.2182521825218252,91,0.2047520475204752,97,0.2182521825218252,0.05,94,0.2115021150211502,0.05,0.9527585275852758,A,,,
23,M,11991,97,0.2182521825218252,83,0.18675186751867517,93,0.20925209252092522,0.05,94,0.2115021150211502,0.03,0.9057582575825759,A,,,
24,M,11992,93,0.20925209252092522,89,0.2002520025200252,97,0.2182521825218252,0.05,91,0.2047520475204752,0.05,0.9325083250832508,A,,,
25,F,10760,88,0.1980019800198002,65,0.14625146251462515,94,0.2115021150211502,0.05,79,0.17775177751777518,0.03,0.8135073350733507,B,,,
26,F,10544,85,0.19125191251912518,70,0.15750157501575016,95,0.2137521375213752,0.05,69,0.15525155251552517,0.05,0.8177571775717757,B,,,
27,M,12032,95,0.2137521375213752,91,0.2047520475204752,96,0.21600216002160022,0.04,79,0.17775177751777518,0.05,0.9022581225812258,A,,,
28,M,11050,89,0.2002520025200252,82,0.18450184501845018,98,0.22050220502205023,0.04,88,0.1980019800198002,0.03,0.8732580325803259,B,,,
29,F,11751,96,0.21600216002160022,96,0.21600216002160022,0,0,0.03,0,0.0,0,0.46200432004320047,F,,,
30,F,10635,75,0.16875168751687517,52,0.11700117001170011,63,0.14175141751417514,0.02,44,0.0990009900099001,0.01,0.5565052650526505,D,,,
31,F,10947,83,0.18675186751867517,68,0.15300153001530015,93,0.20925209252092522,0.05,53,0.11925119251192512,0.03,0.7482566825668258,C,,,
32,F,11306,96,0.21600216002160022,82,0.18450184501845018,92,0.2070020700207002,0.05,86,0.1935019350193502,0.05,0.9010080100801008,A,,,
"Mid-Term = 45% ;    Final = 45%,          C.P. (Class Participation) = 10%,       A= 100%-90%, B=89%-80%, C= 79%-65%, D= 64%-50%, F= Under 50%  ",,,,,,,,,,,,,,,,,
ENGLISH FOR HIGH SCHOOL RESULT - TERM:  01 October 2019 ( 01 October 2019 - 31 December 2019 ) ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Room:       Svay Rieng,,,,,,,,Level :  EHSS-5A,,,,,,,,,
Instructors: Ms. Mariam C. Pangket  & Mr. Sin Sothan                             ,,,,,,,,Time: 6:00-7:30 PM,,,,,,,,,
No.,Gender,ID,Mid-term (45%),,,,Final (45%),,,,,,Total,Grade,Deduction and give reason,,
,,,Ventures  2A,,Project 3A,,Ventures  2A,,C.P.5%,Project 3A,,C.P.5%,,,,,
1,F,10644,100,0.22500225002250024,92,0.2070020700207002,100,0.22500225002250024,0.05,74,0.16650166501665017,0.04,0.9135082350823509,A,,,
2,F,10845,100,0.22500225002250024,91,0.2047520475204752,0,0,0.05,0,0.0,0,0.47975429754297544,F,,,
3,M,10271,91,0.2047520475204752,68,0.15300153001530015,96,0.21600216002160022,0.05,65,0.14625146251462515,0.04,0.8100072000720007,B,,,
4,M,10262,95,0.2137521375213752,83,0.18675186751867517,97,0.2182521825218252,0.05,70,0.15750157501575016,0.05,0.8762577625776258,B,,,
5,M,10136,100,0.22500225002250024,85,0.19125191251912518,0,0,0.05,0,0.0,0,0.46625416254162544,F,,,
6,F,10752,96,0.21600216002160022,78,0.17550175501755017,98,0.22050220502205023,0.05,78,0.17550175501755017,0.04,0.8775078750787508,B,,,
7,M,10822,90,0.2025020250202502,85,0.19125191251912518,100,0.22500225002250024,0.05,63,0.14175141751417514,0.03,0.8405076050760507,B,,,
8,M,10278,95,0.2137521375213752,82,0.18450184501845018,100,0.22500225002250024,0.05,70,0.15750157501575016,0.04,0.8707578075780759,B,,,
9,M,11357,95,0.2137521375213752,90,0.2025020250202502,98,0.22050220502205023,0.05,65,0.14625146251462515,0.04,0.8730078300783007,B,,,
10,F,10332,100,0.22500225002250024,78,0.17550175501755017,0,0,0.05,0,0.0,0,0.4505040050400504,F,,,
11,M,10232,98,0.22050220502205023,80,0.18000180001800017,94,0.2115021150211502,0.05,66,0.14850148501485014,0.05,0.8605076050760507,B,,,
12,M,10379,94,0.2115021150211502,82,0.18450184501845018,100,0.22500225002250024,0.05,76,0.17100171001710018,0.04,0.8820079200792008,B,,,
13,M,10250,85,0.19125191251912518,65,0.14625146251462515,100,0.22500225002250024,0.05,45,0.1012510125101251,0.04,0.7537566375663757,C,,,
14,M,10220,100,0.22500225002250024,84,0.1890018900189002,100,0.22500225002250024,0.05,73,0.16425164251642516,0.04,0.8932580325803259,B,,,
15,M,10430,75,0.16875168751687517,77,0.17325173251732517,0,0,0.05,0,0.0,0,0.3920034200342003,F,,,
16,M,10230,80,0.18000180001800017,65,0.14625146251462515,0,0,0.05,0,0.0,0,0.37625326253262537,F,,,
17,M,10533,94,0.2115021150211502,78,0.17550175501755017,91,0.2047520475204752,0.05,75,0.16875168751687517,0.04,0.8505076050760507,B,,,
18,F,11708,100,0.22500225002250024,96,0.21600216002160022,100,0.22500225002250024,0.05,81,0.1822518225182252,0.04,0.9382584825848259,A,,,
19,F,10753,96,0.21600216002160022,82,0.18450184501845018,0,0,0.05,0,0.0,0,0.4505040050400504,F,,,
20,M,11329,100,0.22500225002250024,80,0.18000180001800017,100,0.22500225002250024,0.05,75,0.16875168751687517,0.05,0.8987579875798759,B,,,
21,M,10243,90,0.2025020250202502,65,0.14625146251462515,82,0.18450184501845018,0.05,63,0.14175141751417514,0.05,0.7750067500675006,C,,,
22,M,10421,96,0.21600216002160022,80,0.18000180001800017,98,0.22050220502205023,0.05,65,0.14625146251462515,0.04,0.8527576275762757,B,,,
23,M,12001,100,0.22500225002250024,91,0.2047520475204752,100,0.22500225002250024,0.05,87,0.1957519575195752,0.04,0.9405085050850508,A,,,
24,F,11277,100,0.22500225002250024,96,0.21600216002160022,100,0.22500225002250024,0.05,82,0.18450184501845018,0.05,0.9505085050850508,A,,,
25,M,10246,100,0.22500225002250024,71,0.15975159751597517,98,0.22050220502205023,0.05,70,0.15750157501575016,0.05,0.8627576275762758,B,,,
26,F,12077,100,0.22500225002250024,99,0.22275222752227522,100,0.22500225002250024,0.05,90,0.2025020250202502,0.05,0.9752587525875258,A,,,
27,M,10709,100,0.22500225002250024,88,0.1980019800198002,100,0.22500225002250024,0.05,83,0.18675186751867517,0.05,0.9347583475834758,A,,,
28,F,10864,100,0.22500225002250024,87,0.1957519575195752,98,0.22050220502205023,0.05,80,0.18000180001800017,0.05,0.9212582125821258,A,,,
29,M,10259,98,0.22050220502205023,82,0.18450184501845018,100,0.22500225002250024,0.05,72,0.16200162001620017,0.05,0.8920079200792008,B,,,
30,F,10273,99,0.22275222752227522,78,0.17550175501755017,100,0.22500225002250024,0.05,73,0.16425164251642516,0.05,0.8875078750787507,B,,,
31,F,11059,100,0.22500225002250024,87,0.1957519575195752,100,0.22500225002250024,0.05,86,0.1935019350193502,0.05,0.9392583925839257,A,,,
"Mid-Term = 45% ;    Final = 45%,          C.P. (Class Participation) = 10%,       A= 100%-90%, B=89%-80%, C= 79%-65%, D= 64%-50%, F= Under 50%  ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ENGLISH FOR HIGH SCHOOL RESULT - TERM:  01 October 2019 ( 01 October 2019 - 31 December 2019 ) ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Room:      Preah Vihear                                                                                                   ,,,,,,,,Level :  EHSS-5B,,,,,,,,,
Instructors: Mr. Touch Puthsothea & Ms. Mariam C. Pangket                         ,,,,,,,,Time: 6:00-7:30 PM,,,,,,,,,
,,,,,,,,,,,,,,,,,
No.,Gender,ID,Mid-term (45%),,,,Final (45%),,,,,,Total,Grade,Deduction and give reason,,
,,,Ventures  2A,,Project 3A,,Ventures  2A,,C.P.5%,Project 3A,,C.P.5%,,,,,
1,F,10495,94,0.2115021150211502,93,0.20925209252092522,87,0.1957519575195752,0.05,78,0.17550175501755017,0.05,0.8920079200792008,B,,,
2,F,11328,83,0.18675186751867517,85,0.19125191251912518,75,0.16875168751687517,0.04,82,0.18450184501845018,0.05,0.8212573125731257,B,,,
3,F,10528,80,0.18000180001800017,78,0.17550175501755017,76,0.17100171001710018,0.04,81,0.1822518225182252,0.05,0.7987570875708756,B,,,
4,F,11693,93,0.20925209252092522,93,0.20925209252092522,93,0.20925209252092522,0.05,93,0.20925209252092522,0.05,0.937008370083701,A,,,
5,F,11416,86,0.1935019350193502,95,0.2137521375213752,90,0.2025020250202502,0.05,79,0.17775177751777518,0.05,0.8875078750787508,B,,,
6,F,10529,92,0.2070020700207002,96,0.21600216002160022,91,0.2047520475204752,0.04,87,0.1957519575195752,0.05,0.9135082350823509,A,,,
7,M,10578,94,0.2115021150211502,90,0.2025020250202502,92,0.2070020700207002,0.03,91,0.2047520475204752,0.05,0.9057582575825759,A,,,
8,M,12181,98,0.22050220502205023,98,0.22050220502205023,93,0.20925209252092522,0.05,99,0.22275222752227522,0.05,0.9730087300873008,A,,,
9,F,12314,92,0.2070020700207002,81,0.1822518225182252,93,0.20925209252092522,0.04,95,0.2137521375213752,0.05,0.9022581225812258,A,,,
10,F,10416,76,0.17100171001710018,58,0.13050130501305013,58,0.13050130501305013,0.03,71,0.15975159751597517,0.05,0.6717559175591756,C,,,
11,F,12111,93,0.20925209252092522,91,0.2047520475204752,86,0.1935019350193502,0.05,87,0.1957519575195752,0.05,0.9032580325803258,A,,,
12,F,11378,95,0.2137521375213752,84,0.1890018900189002,78,0.17550175501755017,0.05,97,0.2182521825218252,0.05,0.8965079650796508,B,,,
13,F,10309,62,0.13950139501395015,70,0.15750157501575016,58,0.13050130501305013,0.02,72,0.16200162001620017,0.05,0.6595058950589505,C,,,
14,F,11644,94,0.2115021150211502,100,0.22500225002250024,88,0.1980019800198002,0.05,96,0.21600216002160022,0.05,0.9505085050850508,A,,,
15,M,10530,94,0.2115021150211502,80,0.18000180001800017,81,0.1822518225182252,0.03,85,0.19125191251912518,0.05,0.8450076500765008,B,,,
16,F,11313,91,0.2047520475204752,84,0.1890018900189002,91,0.2047520475204752,0.04,77,0.17325173251732517,0.05,0.8617577175771758,B,,,
17,F,10577,87,0.1957519575195752,83,0.18675186751867517,81,0.1822518225182252,0.04,76,0.17100171001710018,0.05,0.8257573575735757,B,,,
18,M,12323,91,0.2047520475204752,100,0.22500225002250024,91,0.2047520475204752,0.04,88,0.1980019800198002,0.05,0.9225083250832509,A,,,
19,M,10472,82,0.18450184501845018,87,0.1957519575195752,81,0.1822518225182252,0.04,72,0.16200162001620017,0.05,0.8145072450724506,B,,,
20,M,11337,87,0.1957519575195752,72,0.16200162001620017,89,0.2002520025200252,0.03,84,0.1890018900189002,0.05,0.8270074700747008,B,,,
21,F,11042,87,0.1957519575195752,92,0.2070020700207002,84,0.1890018900189002,0.04,79,0.17775177751777518,0.05,0.8595076950769507,B,,,
22,F,11973,95,0.2137521375213752,100,0.22500225002250024,92,0.2070020700207002,0.05,88,0.1980019800198002,0.05,0.9437584375843758,A,,,
23,M,09848,57,0.12825128251282514,74,0.16650166501665017,69,0.15525155251552517,0.02,73,0.16425164251642516,0.05,0.6842561425614256,C,,,
24,F,10133,78,0.17550175501755017,77,0.17325173251732517,79,0.17775177751777518,0.02,81,0.1822518225182252,0.05,0.7787570875708757,C,,,
25,F,11785,92,0.2070020700207002,100,0.22500225002250024,0,0,0.03,0,0.0,0.05,0.5120043200432005,D,,,
26,M,11842,90,0.2025020250202502,89,0.2002520025200252,82,0.18450184501845018,0.04,86,0.1935019350193502,0.05,0.8707578075780757,B,,,
27,M,10493,93,0.20925209252092522,90,0.2025020250202502,71,0.15975159751597517,0.04,73,0.16425164251642516,0.05,0.8257573575735757,B,,,
28,F,10826,95,0.2137521375213752,81,0.1822518225182252,0,0,0,0,0.0,0.05,0.4460039600396004,F,,,
"Mid-Term = 45% ;    Final = 45%,          C.P. (Class Participation) = 10%,       A= 100%-90%, B=89%-80%, C= 79%-65%, D= 64%-50%, F= Under 50%  ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ENGLISH FOR HIGH SCHOOL RESULT - TERM:  01 October 2019 ( 01 October 2019 - 31 December 2019 ) ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Room:   Neak Pean                                                                                                              ,,,,,,,,Level :  EHSS-6A,,,,,,,,,
Instructors: Ms. Kelly Van Roy & Mr. Touch Puthsothea  ,,,,,,,,Time: 6:00-7:30 PM,,,,,,,,,
,,,,,,,,,,,,,,,,,
No.,Gender,ID,Mid-term (45%),,,,Final (45%),,,,,,Total,Grade,Deduction and give reason,,
,,,Ventures  2B,,Project 3B,,Ventures  2B,,C.P.5%,Project 3B,,C.P.5%,,,,,
1,M,09821,68,0.15300153001530015,15,0.033750337503375034,50,0.11250112501125012,0.03,31,0.06975069750697507,0.02,0.4190036900369004,F,,,
2,F,10817,81,0.1822518225182252,40,0.09000090000900009,89,0.2002520025200252,0.05,50,0.11250112501125012,0.03,0.6650058500585007,C,,,
3,M,11107,98,0.22050220502205023,86,0.1935019350193502,99,0.22275222752227522,0.05,90,0.2025020250202502,0.05,0.9392583925839258,A,,,
4,M,11975,92,0.2070020700207002,85,0.19125191251912518,99,0.22275222752227522,0.05,88,0.1980019800198002,0.05,0.9190081900819008,A,,,
5,F,11755,93,0.20925209252092522,71,0.15975159751597517,0,0,0,0,0.0,0,0.36900369003690037,F,,,
6,F,10919,93,0.20925209252092522,63,0.14175141751417514,93,0.20925209252092522,0.05,65,0.14625146251462515,0.04,0.7965070650706508,B,,,
7,M,09124,81,0.1822518225182252,29,0.06525065250652506,50,0.11250112501125012,0.03,51,0.11475114751147511,0.03,0.5347547475474755,D,,,
8,F,09970,86,0.1935019350193502,48,0.10800108001080011,89,0.2002520025200252,0.05,40,0.09000090000900009,0.03,0.6717559175591756,C,,,
9,M,09596,88,0.1980019800198002,64,0.14400144001440016,86,0.1935019350193502,0.05,58,0.13050130501305013,0.03,0.7460066600666008,C,,,
10,F,09388,69,0.15525155251552517,33,0.07425074250742507,0,0,0,0,0.0,0,0.22950229502295022,F,,,
11,M,09793,84,0.1890018900189002,34,0.07650076500765007,63,0.14175141751417514,0.03,32,0.07200072000720008,0.02,0.5292547925479254,D,,,
12,M,10641,87,0.1957519575195752,55,0.12375123751237513,77,0.17325173251732517,0.04,66,0.14850148501485014,0.03,0.7112564125641258,C,,,
13,M,09387,48,0.10800108001080011,24,0.054000540005400055,0,0,0,0,0.0,0,0.16200162001620017,F,,,
14,F,11565,93,0.20925209252092522,47,0.1057510575105751,99,0.22275222752227522,0.05,57,0.12825128251282514,0.02,0.7360066600666008,C,,,
15,M,10773,95,0.2137521375213752,50,0.11250112501125012,87,0.1957519575195752,0.05,47,0.1057510575105751,0.03,0.7077562775627757,C,,,
16,F,09867,89,0.2002520025200252,66,0.14850148501485014,87,0.1957519575195752,0.05,55,0.12375123751237513,0.04,0.7582566825668258,C,,,
17,F,11264,91,0.2047520475204752,80,0.18000180001800017,93,0.20925209252092522,0.05,66,0.14850148501485014,0.03,0.8225074250742509,B,,,
18,M,09847,87,0.1957519575195752,37,0.08325083250832509,85,0.19125191251912518,0.05,46,0.1035010350103501,0.03,0.6537557375573757,C,,,
